Month,Count,Target Points(Year Wise Avg),,Target Points(Cumulative Avg)
Jan,33,0,,0
Feb,50,0,,0
Mar,51,0,,0
Apr,42,0,,0
May,233,1,,0
Jun,85,1,,0
Jul,68,0,,0
Aug,43,0,,0
Sep,105,1,,0
Oct,27,0,,0
Nov,28,0,,0
Dec,38,0,,0
2016,803,3,66.91666667,N/A
Month,Count,Target Points(Year Wise Avg),,Target Points(Cumulative Avg)
Jan,38,0,,0
Feb,91,0,,0
Mar,61,0,,0
Apr,19,0,,0
May,17,0,,0
Jun,21,0,,0
Jul,27,0,,0
Aug,36,0,,0
Sep,13,0,,0
Oct,3341,1,,1
Nov,1056,1,,0
Dec,2087,1,,1
2017,6807,3,567.25,N/A
Month,Count,Target Points(Year Wise Avg),,Target Points(Cumulative Avg)
Jan,7862,1,,1
Feb,2822,0,,1
Mar,3324,0,,1
Apr,10523,1,,1
May,3568,1,,1
Jun,737,0,,0
Jul,765,0,,0
Aug,1962,0,,1
Sep,1090,0,,0
Oct,1593,0,,1
Nov,1269,0,,0
Dec,1549,0,,0
2018,37064,3,3088.666667,N/A
Month,Count,Target Points(Year Wise Avg),,Target Points(Cumulative Avg)
Jan,844,1,,0
Feb,463,1,,0
Mar,384,0,,0
Apr,729,1,,0
May,314,0,,0
Jun,204,0,,0
Jul,221,0,,0
Aug,364,0,,0
Sep,419,0,,0
Oct,271,0,,0
Nov,216,0,,0
Dec,112,0,,0
2019,4541,3,378.4166667,
Grand Total,49215,,1367.083333,9
