,Country,Greek,Esperanto,English,Afrikaans,Vietnamese,Catalan,Italian,Kannada,Basque,Welsh,Arabic,Malayalam,Irish,Czech,Estonian,Azerbaijani,Indonesian,Spanish,Russian,Galician,Dutch,Portuguese,Latin,Turkish,Lithuanian,Latvian,Filipino,Panjabi,Thai,Gujarati,Romanian,Icelandic,Polish,Tamil,Yiddish,Belarusian,French,Bulgarian,Maltese,Malay,Croatian,Bengali,German,Korean,Haitian Creole,Danish,Persian,Hindi,Finnish,Hungarian,Japanese,Hebrew,Georgian,Telugu,Nepali,Chinese Traditional,Albanian,Norwegian,Swahili,Swedish,Macedonian,Urdu,Slovak,Chinese Simplified,Serbian,Somali,Ukrainian,Slovenian,Marathi,None,Total
0,United States of America,0.0,0,94.02,0.76,0.03,0.06,0.33,0.0,0,0.04,0.01,0.0,0,0.0,0.37,0,0.18,0.96,0.01,0,0.26,0.41,0,0.02,0.01,0.0,0.13,0.0,0.06,0.0,0.06,0,0.04,0.01,0,0,0.25,0.0,0,0,0.02,0.0,0.37,0.16,0,0.04,0.01,0.03,0.11,0.01,0.14,0.0,0,0.0,0.0,0.0,0.02,0.07,0.04,0.06,0.0,0.01,0.02,0.01,0,0.4,0.0,0.05,0.0,0.37,100.0
1,India,0.0,0,83.21,0.39,0.0,0.02,0.11,0.15,0,0.05,0.0,0.09,0,0.0,0.69,0,1.94,0.05,0.0,0,0.24,0.07,0,0.01,0.03,0.0,0.19,0.01,0.0,0.06,0.03,0,0.01,1.01,0,0,0.09,0.0,0,0,0.07,0.03,0.09,0.02,0,0.02,0.0,9.39,0.14,0.0,0.02,0.0,0,0.09,0.02,0.0,0.12,0.04,0.29,0.04,0.0,0.03,0.01,0.0,0,0.75,0.0,0.08,0.25,0.04,100.0
2,South Korea,0.0,0,11.69,0.07,0.79,0.01,0.03,0.0,0,0.06,0.01,0.0,0,0.0,1.43,0,0.09,0.13,0.01,0,0.05,0.04,0,0.01,0.01,0.0,0.04,0.0,1.42,0.0,0.0,0,0.02,0.0,0,0,0.17,0.0,0,0,0.01,0.0,0.07,82.49,0,0.0,0.0,0.0,0.03,0.0,1.09,0.0,0,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.01,0.01,0,0.09,0.0,0.01,0.0,0.01,100.0
3,Japan,0.0,0,8.49,0.28,0.13,0.02,0.07,0.0,0,0.06,0.0,0.0,0,0.0,1.17,0,0.22,0.1,0.01,0,0.05,0.05,0,0.01,0.04,0.0,0.12,0.0,0.08,0.0,0.02,0,0.04,0.0,0,0,0.26,0.0,0,0,0.05,0.0,0.07,1.37,0,0.01,0.0,0.01,0.12,0.01,85.94,0.0,0,0.0,0.0,0.01,0.04,0.02,0.59,0.04,0.01,0.0,0.06,0.02,0,0.3,0.0,0.05,0.0,0.02,100.0
4,United Kingdom,0.0,0,94.83,0.65,0.01,0.05,0.23,0.0,0,0.08,0.02,0.0,0,0.01,0.26,0,0.18,0.5,0.01,0,0.24,0.1,0,0.05,0.02,0.01,0.07,0.0,0.07,0.0,0.04,0,0.06,0.02,0,0,0.58,0.0,0,0,0.02,0.0,0.37,0.13,0,0.06,0.04,0.06,0.12,0.01,0.19,0.0,0,0.0,0.0,0.0,0.02,0.09,0.05,0.1,0.0,0.11,0.03,0.01,0,0.27,0.0,0.03,0.0,0.19,100.0
5,Canada,0.0,0,94.44,0.44,0.02,0.05,0.16,0.0,0,0.04,0.01,0.0,0,0.0,0.22,0,0.14,0.24,0.01,0,0.25,0.11,0,0.02,0.01,0.0,0.08,0.0,0.03,0.0,0.11,0,0.03,0.01,0,0,1.9,0.0,0,0,0.02,0.0,0.26,0.15,0,0.03,0.05,0.02,0.08,0.0,0.16,0.0,0,0.0,0.01,0.0,0.02,0.05,0.03,0.04,0.0,0.05,0.03,0.02,0,0.22,0.0,0.03,0.0,0.41,100.0
6,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,France,0.0,0,20.0,0.21,0.01,0.67,1.67,0.0,0,0.03,0.03,0.0,0,0.01,0.2,0,0.12,0.75,0.0,0,0.23,0.18,0,0.08,0.01,0.0,0.06,0.0,0.06,0.0,0.29,0,0.02,0.01,0,0,73.95,0.0,0,0,0.02,0.0,0.28,0.18,0,0.02,0.03,0.01,0.07,0.01,0.31,0.0,0,0.0,0.0,0.0,0.01,0.03,0.02,0.05,0.0,0.03,0.02,0.01,0,0.15,0.0,0.04,0.0,0.11,100.0
8,Spain,0.08,0,18.33,0.34,0.01,7.35,0.77,0.0,0,0.04,0.08,0.0,0,0.0,0.25,0,0.17,68.61,0.0,0,0.24,1.32,0,0.03,0.04,0.01,0.05,0.0,0.04,0.0,0.06,0,0.02,0.0,0,0,0.8,0.0,0,0,0.04,0.0,0.35,0.07,0,0.03,0.01,0.01,0.11,0.01,0.12,0.0,0,0.0,0.0,0.0,0.01,0.06,0.04,0.09,0.0,0.03,0.02,0.0,0,0.21,0.0,0.08,0.0,0.06,100.0
9,Argentina,0.0,0,20.8,0.19,0.02,0.27,0.57,0.0,0,0.03,0.0,0.0,0,0.01,0.13,0,0.14,74.53,0.0,0,0.15,1.25,0,0.04,0.03,0.0,0.09,0.0,0.03,0.0,0.05,0,0.01,0.0,0,0,0.38,0.0,0,0,0.03,0.0,0.21,0.17,0,0.01,0.01,0.05,0.09,0.03,0.04,0.0,0,0.0,0.0,0.0,0.01,0.04,0.08,0.03,0.0,0.01,0.03,0.0,0,0.24,0.0,0.09,0.0,0.08,100.0
10,Australia,0.0,0,95.71,0.56,0.01,0.03,0.14,0.0,0,0.05,0.01,0.0,0,0.0,0.26,0,0.15,0.28,0.0,0,0.22,0.12,0,0.03,0.01,0.0,0.09,0.0,0.08,0.0,0.03,0,0.02,0.04,0,0,0.19,0.0,0,0,0.01,0.0,0.15,0.24,0,0.05,0.03,0.04,0.08,0.01,0.57,0.0,0,0.0,0.02,0.0,0.02,0.06,0.02,0.04,0.0,0.05,0.01,0.03,0,0.22,0.0,0.03,0.0,0.28,100.0
11,Mexico,0.0,0,29.0,0.35,0.02,0.31,0.52,0.0,0,0.05,0.0,0.0,0,0.01,0.25,0,0.16,65.74,0.0,0,0.18,1.27,0,0.04,0.02,0.01,0.07,0.0,0.03,0.0,0.05,0,0.02,0.0,0,0,0.38,0.0,0,0,0.03,0.0,0.19,0.26,0,0.01,0.0,0.01,0.11,0.01,0.11,0.0,0,0.0,0.0,0.0,0.01,0.05,0.08,0.04,0.0,0.0,0.04,0.0,0,0.32,0.0,0.14,0.0,0.08,100.0
12,Germany,0.01,0,38.97,0.83,0.01,0.09,0.32,0.0,0,0.05,0.04,0.0,0,0.01,0.43,0,0.17,0.72,0.05,0,0.7,0.16,0,0.32,0.03,0.01,0.09,0.0,0.05,0.0,0.04,0,0.1,0.01,0,0,0.84,0.0,0,0,0.03,0.0,52.85,0.17,0,0.1,0.11,0.03,0.14,0.02,0.93,0.01,0,0.0,0.02,0.01,0.02,0.1,0.02,0.29,0.02,0.09,0.03,0.01,0,0.23,0.01,0.09,0.0,0.57,100.0
13,Indonesia,0.01,0,63.22,0.61,0.11,0.19,0.36,0.0,0,0.22,0.29,0.0,0,0.01,0.55,0,12.4,1.3,0.01,0,0.62,0.35,0,0.04,0.02,0.01,0.53,0.0,8.97,0.0,0.07,0,0.08,0.02,0,0,2.79,0.0,0,0,0.04,0.0,1.05,3.31,0,0.03,0.04,0.18,0.2,0.0,1.34,0.01,0,0.0,0.0,0.0,0.03,0.1,0.18,0.09,0.0,0.06,0.02,0.01,0,0.45,0.0,0.04,0.0,0.02,100.0
14,Italy,0.01,0,68.34,0.29,0.01,0.1,26.41,0.0,0,0.03,0.01,0.01,0,0.01,0.2,0,0.22,1.19,0.01,0,0.18,0.3,0,0.09,0.02,0.0,0.06,0.0,0.04,0.0,0.13,0,0.03,0.0,0,0,0.82,0.0,0,0,0.05,0.0,0.31,0.09,0,0.02,0.05,0.02,0.07,0.01,0.3,0.0,0,0.0,0.0,0.0,0.0,0.04,0.05,0.04,0.0,0.04,0.01,0.01,0,0.15,0.0,0.05,0.0,0.13,100.0
