Country,Date,Volume
Venezuela,1/1/2016,1
US,1/1/2016,83
India,1/1/2016,0
Brazil,1/1/2016,1
Malaysia,1/1/2016,1
Switzerland,1/1/2016,0
SouthKorea,1/1/2016,0
Indeonesia,1/1/2016,27
German,1/1/2016,2
France,1/1/2016,7
Australia,1/1/2016,1
NewZealand,1/1/2016,3
Netherlands,1/1/2016,0
Belgium,1/1/2016,1
Ireland,1/1/2016,2
Parkistan,1/1/2016,0
Nigeria,1/1/2016,0
UK,1/1/2016,13
Philippines,1/1/2016,0
Spain,1/1/2016,5
Finland,1/1/2016,0
Italy,1/1/2016,5
Canada,1/1/2016,3
Mexico,1/1/2016,7
SouthAfrica,1/1/2016,0
Chili,1/1/2016,0
Japan,1/1/2016,2
Argentina,1/1/2016,3
Sweden,1/1/2016,0
Russia,1/1/2016,6
Columbia,1/1/2016,2
Thailand,1/1/2016,1
Turkey,1/1/2016,2
Venezuela,1/1/2017,1
US,1/1/2017,73
India,1/1/2017,0
Brazil,1/1/2017,52
Malaysia,1/1/2017,2
Switzerland,1/1/2017,1
SouthKorea,1/1/2017,34
Indeonesia,1/1/2017,16
German,1/1/2017,1
France,1/1/2017,3
Australia,1/1/2017,3
NewZealand,1/1/2017,0
Netherlands,1/1/2017,2
Belgium,1/1/2017,2
Ireland,1/1/2017,0
Parkistan,1/1/2017,5
Nigeria,1/1/2017,1
UK,1/1/2017,18
Philippines,1/1/2017,6
Spain,1/1/2017,7
Finland,1/1/2017,0
Italy,1/1/2017,2
Canada,1/1/2017,9
Mexico,1/1/2017,10
SouthAfrica,1/1/2017,0
Chili,1/1/2017,0
Japan,1/1/2017,25
Argentina,1/1/2017,2
Sweden,1/1/2017,0
Russia,1/1/2017,2
Columbia,1/1/2017,0
Thailand,1/1/2017,9
Turkey,1/1/2017,0
Venezuela,1/1/2018,67
US,1/1/2018,39697
India,1/1/2018,253
Brazil,1/1/2018,952
Malaysia,1/1/2018,17
Switzerland,1/1/2018,109
SouthKorea,1/1/2018,623
Indeonesia,1/1/2018,354
German,1/1/2018,463
France,1/1/2018,918
Australia,1/1/2018,488
NewZealand,1/1/2018,34
Netherlands,1/1/2018,261
Belgium,1/1/2018,185
Ireland,1/1/2018,134
Parkistan,1/1/2018,51
Nigeria,1/1/2018,34
UK,1/1/2018,2249
Philippines,1/1/2018,168
Spain,1/1/2018,556
Finland,1/1/2018,101
Italy,1/1/2018,2030
Canada,1/1/2018,2021
Mexico,1/1/2018,387
SouthAfrica,1/1/2018,126
Chili,1/1/2018,109
Japan,1/1/2018,2350
Argentina,1/1/2018,244
Sweden,1/1/2018,320
Russia,1/1/2018,76
Columbia,1/1/2018,101
Thailand,1/1/2018,59
Turkey,1/1/2018,126
Venezuela,1/1/2019,16
US,1/1/2019,4786
India,1/1/2019,856
Brazil,1/1/2019,46
Malaysia,1/1/2019,25
Switzerland,1/1/2019,14
SouthKorea,1/1/2019,107
Indeonesia,1/1/2019,45
German,1/1/2019,119
France,1/1/2019,175
Australia,1/1/2019,185
NewZealand,1/1/2019,17
Netherlands,1/1/2019,23
Belgium,1/1/2019,23
Ireland,1/1/2019,41
Parkistan,1/1/2019,21
Nigeria,1/1/2019,25
UK,1/1/2019,472
Philippines,1/1/2019,28
Spain,1/1/2019,277
Finland,1/1/2019,68
Italy,1/1/2019,51
Canada,1/1/2019,293
Mexico,1/1/2019,92
SouthAfrica,1/1/2019,29
Chili,1/1/2019,33
Japan,1/1/2019,724
Argentina,1/1/2019,45
Sweden,1/1/2019,81
Russia,1/1/2019,15
Columbia,1/1/2019,15
Thailand,1/1/2019,16
Turkey,1/1/2019,26
Venezuela,1/10/2016,1
US,1/10/2016,66
India,1/10/2016,2
Brazil,1/10/2016,27
Malaysia,1/10/2016,6
Switzerland,1/10/2016,0
SouthKorea,1/10/2016,1
Indeonesia,1/10/2016,24
German,1/10/2016,0
France,1/10/2016,0
Australia,1/10/2016,0
NewZealand,1/10/2016,0
Netherlands,1/10/2016,0
Belgium,1/10/2016,0
Ireland,1/10/2016,0
Parkistan,1/10/2016,0
Nigeria,1/10/2016,0
UK,1/10/2016,15
Philippines,1/10/2016,0
Spain,1/10/2016,5
Finland,1/10/2016,0
Italy,1/10/2016,0
Canada,1/10/2016,2
Mexico,1/10/2016,4
SouthAfrica,1/10/2016,0
Chili,1/10/2016,2
Japan,1/10/2016,1
Argentina,1/10/2016,1
Sweden,1/10/2016,0
Russia,1/10/2016,3
Columbia,1/10/2016,3
Thailand,1/10/2016,1
Turkey,1/10/2016,4
Venezuela,1/10/2017,0
US,1/10/2017,99
India,1/10/2017,0
Brazil,1/10/2017,29
Malaysia,1/10/2017,3
Switzerland,1/10/2017,0
SouthKorea,1/10/2017,36
Indeonesia,1/10/2017,7
German,1/10/2017,2
France,1/10/2017,0
Australia,1/10/2017,3
NewZealand,1/10/2017,0
Netherlands,1/10/2017,0
Belgium,1/10/2017,1
Ireland,1/10/2017,1
Parkistan,1/10/2017,1
Nigeria,1/10/2017,0
UK,1/10/2017,7
Philippines,1/10/2017,12
Spain,1/10/2017,1
Finland,1/10/2017,0
Italy,1/10/2017,0
Canada,1/10/2017,8
Mexico,1/10/2017,39
SouthAfrica,1/10/2017,0
Chili,1/10/2017,0
Japan,1/10/2017,17
Argentina,1/10/2017,43
Sweden,1/10/2017,0
Russia,1/10/2017,1
Columbia,1/10/2017,0
Thailand,1/10/2017,13
Turkey,1/10/2017,1
Venezuela,1/10/2018,454
US,1/10/2018,68980
India,1/10/2018,1294
Brazil,1/10/2018,1661
Malaysia,1/10/2018,297
Switzerland,1/10/2018,419
SouthKorea,1/10/2018,629
Indeonesia,1/10/2018,1189
German,1/10/2018,1399
France,1/10/2018,8585
Australia,1/10/2018,2343
NewZealand,1/10/2018,279
Netherlands,1/10/2018,1154
Belgium,1/10/2018,560
Ireland,1/10/2018,367
Parkistan,1/10/2018,280
Nigeria,1/10/2018,245
UK,1/10/2018,6746
Philippines,1/10/2018,279
Spain,1/10/2018,2308
Finland,1/10/2018,210
Italy,1/10/2018,2640
Canada,1/10/2018,3445
Mexico,1/10/2018,1486
SouthAfrica,1/10/2018,629
Chili,1/10/2018,385
Japan,1/10/2018,2937
Argentina,1/10/2018,944
Sweden,1/10/2018,472
Russia,1/10/2018,297
Columbia,1/10/2018,594
Thailand,1/10/2018,227
Turkey,1/10/2018,157
Venezuela,1/10/2019,20
US,1/10/2019,9368
India,1/10/2019,1251
Brazil,1/10/2019,168
Malaysia,1/10/2019,15
Switzerland,1/10/2019,17
SouthKorea,1/10/2019,194
